Temperature - (Celsius), Year, Statistics, Country, ISO3
21.1875, 2000, Jan Average, Ethiopia, ETH
22.526, 2000, Feb Average, Ethiopia, ETH
23.6302, 2000, Mar Average, Ethiopia, ETH
24.8092, 2000, Apr Average, Ethiopia, ETH
24.0806, 2000, May Average, Ethiopia, ETH
24.1347, 2000, Jun Average, Ethiopia, ETH
23.2991, 2000, Jul Average, Ethiopia, ETH
22.7021, 2000, Aug Average, Ethiopia, ETH
23.0184, 2000, Sep Average, Ethiopia, ETH
22.0057, 2000, Oct Average, Ethiopia, ETH
22.7463, 2000, Nov Average, Ethiopia, ETH
21.024, 2000, Dec Average, Ethiopia, ETH
21.8487, 2001, Jan Average, Ethiopia, ETH
22.7444, 2001, Feb Average, Ethiopia, ETH
23.9446, 2001, Mar Average, Ethiopia, ETH
25.2936, 2001, Apr Average, Ethiopia, ETH
24.0783, 2001, May Average, Ethiopia, ETH
23.4725, 2001, Jun Average, Ethiopia, ETH
23.0717, 2001, Jul Average, Ethiopia, ETH
22.3823, 2001, Aug Average, Ethiopia, ETH
23.1822, 2001, Sep Average, Ethiopia, ETH
23.1401, 2001, Oct Average, Ethiopia, ETH
21.6536, 2001, Nov Average, Ethiopia, ETH
21.7096, 2001, Dec Average, Ethiopia, ETH
21.2947, 2002, Jan Average, Ethiopia, ETH
23.4206, 2002, Feb Average, Ethiopia, ETH
24.1979, 2002, Mar Average, Ethiopia, ETH
25.1857, 2002, Apr Average, Ethiopia, ETH
25.4173, 2002, May Average, Ethiopia, ETH
24.369, 2002, Jun Average, Ethiopia, ETH
24.0913, 2002, Jul Average, Ethiopia, ETH
23.4365, 2002, Aug Average, Ethiopia, ETH
23.4623, 2002, Sep Average, Ethiopia, ETH
22.3402, 2002, Oct Average, Ethiopia, ETH
22.498, 2002, Nov Average, Ethiopia, ETH
22.0732, 2002, Dec Average, Ethiopia, ETH
22.0923, 2003, Jan Average, Ethiopia, ETH
23.6792, 2003, Feb Average, Ethiopia, ETH
24.498, 2003, Mar Average, Ethiopia, ETH
25.0167, 2003, Apr Average, Ethiopia, ETH
25.3194, 2003, May Average, Ethiopia, ETH
24.1619, 2003, Jun Average, Ethiopia, ETH
22.7703, 2003, Jul Average, Ethiopia, ETH
22.8343, 2003, Aug Average, Ethiopia, ETH
22.704, 2003, Sep Average, Ethiopia, ETH
22.5865, 2003, Oct Average, Ethiopia, ETH
22.0632, 2003, Nov Average, Ethiopia, ETH
21.2661, 2003, Dec Average, Ethiopia, ETH
22.4971, 2004, Jan Average, Ethiopia, ETH
22.89, 2004, Feb Average, Ethiopia, ETH
23.9984, 2004, Mar Average, Ethiopia, ETH
24.466, 2004, Apr Average, Ethiopia, ETH
25.1527, 2004, May Average, Ethiopia, ETH
23.9497, 2004, Jun Average, Ethiopia, ETH
23.3521, 2004, Jul Average, Ethiopia, ETH
23.2982, 2004, Aug Average, Ethiopia, ETH
23.1776, 2004, Sep Average, Ethiopia, ETH
22.1977, 2004, Oct Average, Ethiopia, ETH
21.9748, 2004, Nov Average, Ethiopia, ETH
21.7008, 2004, Dec Average, Ethiopia, ETH
21.5495, 2005, Jan Average, Ethiopia, ETH
24.1432, 2005, Feb Average, Ethiopia, ETH
24.679, 2005, Mar Average, Ethiopia, ETH
25.194, 2005, Apr Average, Ethiopia, ETH
24.4134, 2005, May Average, Ethiopia, ETH
23.4209, 2005, Jun Average, Ethiopia, ETH
23.0386, 2005, Jul Average, Ethiopia, ETH
23.3798, 2005, Aug Average, Ethiopia, ETH
23.5639, 2005, Sep Average, Ethiopia, ETH
22.6808, 2005, Oct Average, Ethiopia, ETH
21.7436, 2005, Nov Average, Ethiopia, ETH
21.1005, 2005, Dec Average, Ethiopia, ETH
22.1611, 2006, Jan Average, Ethiopia, ETH
23.9477, 2006, Feb Average, Ethiopia, ETH
24.0942, 2006, Mar Average, Ethiopia, ETH
24.3869, 2006, Apr Average, Ethiopia, ETH
24.312, 2006, May Average, Ethiopia, ETH
24.1617, 2006, Jun Average, Ethiopia, ETH
23.4838, 2006, Jul Average, Ethiopia, ETH
22.6939, 2006, Aug Average, Ethiopia, ETH
23.0048, 2006, Sep Average, Ethiopia, ETH
22.9782, 2006, Oct Average, Ethiopia, ETH
21.9755, 2006, Nov Average, Ethiopia, ETH
21.0246, 2006, Dec Average, Ethiopia, ETH
21.4017, 2007, Jan Average, Ethiopia, ETH
23.1768, 2007, Feb Average, Ethiopia, ETH
24.369, 2007, Mar Average, Ethiopia, ETH
24.6292, 2007, Apr Average, Ethiopia, ETH
24.9111, 2007, May Average, Ethiopia, ETH
23.8157, 2007, Jun Average, Ethiopia, ETH
22.5618, 2007, Jul Average, Ethiopia, ETH
22.6814, 2007, Aug Average, Ethiopia, ETH
23.2152, 2007, Sep Average, Ethiopia, ETH
22.5096, 2007, Oct Average, Ethiopia, ETH
22.3257, 2007, Nov Average, Ethiopia, ETH
21.2205, 2007, Dec Average, Ethiopia, ETH
22.1752, 2008, Jan Average, Ethiopia, ETH
22.5218, 2008, Feb Average, Ethiopia, ETH
23.199, 2008, Mar Average, Ethiopia, ETH
24.0895, 2008, Apr Average, Ethiopia, ETH
24.3446, 2008, May Average, Ethiopia, ETH
23.7048, 2008, Jun Average, Ethiopia, ETH
23.1039, 2008, Jul Average, Ethiopia, ETH
22.9541, 2008, Aug Average, Ethiopia, ETH
23.5732, 2008, Sep Average, Ethiopia, ETH
22.7038, 2008, Oct Average, Ethiopia, ETH
21.5026, 2008, Nov Average, Ethiopia, ETH
21.2073, 2008, Dec Average, Ethiopia, ETH
21.7948, 2009, Jan Average, Ethiopia, ETH
23.635, 2009, Feb Average, Ethiopia, ETH
24.3182, 2009, Mar Average, Ethiopia, ETH
25.4964, 2009, Apr Average, Ethiopia, ETH
25.1642, 2009, May Average, Ethiopia, ETH
25.068, 2009, Jun Average, Ethiopia, ETH
23.519, 2009, Jul Average, Ethiopia, ETH
23.5733, 2009, Aug Average, Ethiopia, ETH
24.2893, 2009, Sep Average, Ethiopia, ETH
23.0349, 2009, Oct Average, Ethiopia, ETH
22.3682, 2009, Nov Average, Ethiopia, ETH
22.2253, 2009, Dec Average, Ethiopia, ETH
22.3031, 2010, Jan Average, Ethiopia, ETH
23.3537, 2010, Feb Average, Ethiopia, ETH
23.9762, 2010, Mar Average, Ethiopia, ETH
25.9116, 2010, Apr Average, Ethiopia, ETH
25.2347, 2010, May Average, Ethiopia, ETH
24.1754, 2010, Jun Average, Ethiopia, ETH
23.1202, 2010, Jul Average, Ethiopia, ETH
22.9612, 2010, Aug Average, Ethiopia, ETH
23.3404, 2010, Sep Average, Ethiopia, ETH
23.209, 2010, Oct Average, Ethiopia, ETH
22.516, 2010, Nov Average, Ethiopia, ETH
22.1883, 2010, Dec Average, Ethiopia, ETH
21.9124, 2011, Jan Average, Ethiopia, ETH
23.2045, 2011, Feb Average, Ethiopia, ETH
23.9576, 2011, Mar Average, Ethiopia, ETH
25.5043, 2011, Apr Average, Ethiopia, ETH
24.7203, 2011, May Average, Ethiopia, ETH
24.7827, 2011, Jun Average, Ethiopia, ETH
24.1041, 2011, Jul Average, Ethiopia, ETH
23.1129, 2011, Aug Average, Ethiopia, ETH
23.5811, 2011, Sep Average, Ethiopia, ETH
22.4048, 2011, Oct Average, Ethiopia, ETH
22.7068, 2011, Nov Average, Ethiopia, ETH
21.5447, 2011, Dec Average, Ethiopia, ETH
21.7396, 2012, Jan Average, Ethiopia, ETH
23.1519, 2012, Feb Average, Ethiopia, ETH
24.5518, 2012, Mar Average, Ethiopia, ETH
24.7899, 2012, Apr Average, Ethiopia, ETH
25.1977, 2012, May Average, Ethiopia, ETH
24.132, 2012, Jun Average, Ethiopia, ETH
22.9884, 2012, Jul Average, Ethiopia, ETH
22.7873, 2012, Aug Average, Ethiopia, ETH
23.6287, 2012, Sep Average, Ethiopia, ETH
23.1641, 2012, Oct Average, Ethiopia, ETH
22.2664, 2012, Nov Average, Ethiopia, ETH
21.5565, 2012, Dec Average, Ethiopia, ETH
22.4823, 2013, Jan Average, Ethiopia, ETH
23.8165, 2013, Feb Average, Ethiopia, ETH
24.9588, 2013, Mar Average, Ethiopia, ETH
25.225, 2013, Apr Average, Ethiopia, ETH
25.1946, 2013, May Average, Ethiopia, ETH
23.9753, 2013, Jun Average, Ethiopia, ETH
23.4139, 2013, Jul Average, Ethiopia, ETH
22.8888, 2013, Aug Average, Ethiopia, ETH
23.6526, 2013, Sep Average, Ethiopia, ETH
22.967, 2013, Oct Average, Ethiopia, ETH
22.3652, 2013, Nov Average, Ethiopia, ETH
20.8906, 2013, Dec Average, Ethiopia, ETH
21.7849, 2014, Jan Average, Ethiopia, ETH
22.798, 2014, Feb Average, Ethiopia, ETH
24.6631, 2014, Mar Average, Ethiopia, ETH
24.6675, 2014, Apr Average, Ethiopia, ETH
24.2738, 2014, May Average, Ethiopia, ETH
24.7976, 2014, Jun Average, Ethiopia, ETH
23.7186, 2014, Jul Average, Ethiopia, ETH
23.0807, 2014, Aug Average, Ethiopia, ETH
23.3995, 2014, Sep Average, Ethiopia, ETH
22.731, 2014, Oct Average, Ethiopia, ETH
22.4696, 2014, Nov Average, Ethiopia, ETH
21.9304, 2014, Dec Average, Ethiopia, ETH
21.2843, 2015, Jan Average, Ethiopia, ETH
23.7349, 2015, Feb Average, Ethiopia, ETH
25.124, 2015, Mar Average, Ethiopia, ETH
25.1284, 2015, Apr Average, Ethiopia, ETH
24.8063, 2015, May Average, Ethiopia, ETH
24.6489, 2015, Jun Average, Ethiopia, ETH
24.6472, 2015, Jul Average, Ethiopia, ETH
23.5835, 2015, Aug Average, Ethiopia, ETH
24.3798, 2015, Sep Average, Ethiopia, ETH
24.0153, 2015, Oct Average, Ethiopia, ETH
22.873, 2015, Nov Average, Ethiopia, ETH
21.888, 2015, Dec Average, Ethiopia, ETH
22.3607, 2016, Jan Average, Ethiopia, ETH
23.9324, 2016, Feb Average, Ethiopia, ETH
26.4227, 2016, Mar Average, Ethiopia, ETH
25.2007, 2016, Apr Average, Ethiopia, ETH
24.3455, 2016, May Average, Ethiopia, ETH
24.3142, 2016, Jun Average, Ethiopia, ETH
23.61, 2016, Jul Average, Ethiopia, ETH
23.2247, 2016, Aug Average, Ethiopia, ETH
23.7536, 2016, Sep Average, Ethiopia, ETH
23.4548, 2016, Oct Average, Ethiopia, ETH
22.2788, 2016, Nov Average, Ethiopia, ETH
21.7234, 2016, Dec Average, Ethiopia, ETH
